name,eval_date,num_params,clickable,hf_path,SCORE overall,SCORE object attributes,SCORE recognition,SCORE recognition-KO,SCORE relationship,SCORE KO-OCR,SCORE commonsense reasoning,SCORE document understanding,SCORE table understanding,SCORE graph and chart understanding,SCORE hallucination and robustness
gemini-1.5-flash-002,2024-12-05,,False,,73.45454545454545,72.83333333333333,90.0,50.0,68.0,72.5,78.22222222222221,89.33333333333334,83.33333333333334,61.333333333333336,40.0
Aria,2024-12-11,25307311216.0,True,rhymes-ai/Aria,44.14545454545454,66.5,55.0,0.0,50.66666666666666,5.0,79.33333333333334,17.333333333333336,9.0,37.333333333333336,50.0
claude-3-5-sonnet-20241022,2024-12-05,,False,,80.47272727272727,81.83333333333334,90.0,80.0,66.0,76.5,88.88888888888889,78.0,73.66666666666666,88.66666666666667,80.0
Molmo-72B-0924,2024-12-09,73308285952.0,True,allenai/Molmo-72B-0924,36.58181818181818,45.5,25.0,5.0,47.66666666666666,0.0,54.44444444444444,18.33333333333333,20.666666666666668,42.66666666666666,70.0
gpt-4.1-mini-2025-04-14,2025-04-17,,False,,85.81818181818181,82.5,90.0,60.0,79.0,90.0,89.55555555555556,93.33333333333334,85.0,90.0,90.0
Molmo-7B-D-0924,2024-12-05,8021025280.0,True,allenai/Molmo-7B-D-0924,30.25454545454545,52.5,20.0,0.0,32.0,5.0,47.77777777777778,12.0,9.333333333333334,27.333333333333336,30.0
Llama-3.2-MAAL-11B-Vision-v0.1,2024-12-05,11142080035.0,True,maum-ai/Llama-3.2-MAAL-11B-Vision-v0.1,61.127272727272725,78.0,65.0,5.0,51.66666666666667,63.0,77.33333333333333,53.0,45.0,50.0,70.0
Ovis1.6-Gemma2-9B,2024-12-05,10206910518.0,True,AIDC-AI/Ovis1.6-Gemma2-9B,38.98181818181818,73.16666666666666,55.0,0.0,33.0,10.0,45.11111111111112,15.0,17.0,31.33333333333333,66.0
gemini-2.0-flash-exp,2024-12-12,,False,,78.87272727272727,73.83333333333334,80.0,70.0,56.66666666666667,90.0,82.66666666666667,93.33333333333334,90.0,84.66666666666667,50.0
InternVL2_5-38B,2024-12-16,38388164992.0,True,OpenGVLab/InternVL2_5-38B,60.25454545454545,64.5,35.0,15.0,57.66666666666666,45.0,69.33333333333334,56.333333333333336,58.66666666666666,71.33333333333334,86.0
gpt-4o-2024-08-06,2024-12-05,,False,,77.6,77.5,80.0,90.0,64.66666666666667,80.0,87.55555555555557,77.0,82.0,68.0,70.0
Ovis2-8B,2025-02-12,8935282678.0,True,AIDC-AI/Ovis2-8B,69.52727272727273,77.83333333333333,65.0,30.0,70.66666666666666,70.0,76.22222222222221,53.66666666666666,74.0,64.0,80.0
gemini-1.5-flash-8b-001,2024-12-05,,False,,61.85454545454546,68.66666666666666,50.0,15.0,46.66666666666667,35.0,82.44444444444443,91.33333333333331,51.333333333333336,53.33333333333333,55.0
llava-onevision-qwen2-7b-ov,2024-12-05,8027359776.0,True,lmms-lab/llava-onevision-qwen2-7b-ov,40.98181818181818,60.33333333333333,35.0,15.0,54.333333333333336,5.0,63.33333333333333,21.666666666666664,6.666666666666666,30.666666666666668,80.0
Phi-4-multimodal-instruct,2025-04-01,5574460224.0,True,microsoft/Phi-4-multimodal-instruct,30.18181818181818,42.16666666666667,10.0,0.0,23.666666666666668,11.5,39.55555555555556,25.666666666666668,24.0,40.0,26.0
InternVL3-2B,2025-04-25,2088957440.0,True,OpenGVLab/InternVL3-2B,43.67272727272727,47.16666666666667,5.0,15.0,34.33333333333333,71.5,52.66666666666666,47.0,27.333333333333336,50.66666666666666,40.0
claude-3-opus-20240229,2024-12-13,,False,,58.90909090909091,65.66666666666666,80.0,25.0,67.66666666666667,75.0,82.66666666666667,45.0,31.666666666666664,40.0,46.0
Qwen2.5-VL-7B-Instruct,2025-02-04,8292166656.0,True,Qwen/Qwen2.5-VL-7B-Instruct,67.74545454545455,78.33333333333333,50.0,25.0,55.33333333333333,85.0,71.55555555555556,74.66666666666667,61.66666666666667,58.66666666666666,75.0
gpt-4.5-preview-2025-02-27,2025-02-28,,False,,85.30909090909091,85.5,80.0,80.0,76.66666666666667,95.0,93.55555555555556,90.66666666666666,93.33333333333334,70.0,70.0
