rating,variance,rating_q975,rating_q025,num_battles,final_ranking,key,Model,License,Organization,Knowledge cutoff date,Link,MT-bench (score),MMLU
1031.7325599881628,1319.4141323598274,1059.409330284346,918.4104238278062,470,1,gpt-4o-2024-05-13,gpt-4o-2024-05-13,Proprietary,OpenAI,10-2023,https://openai.com/api/,70.0,50.0
1109.3779556017184,1265.368563728756,1134.7083127122967,999.4535859548364,527,1,Claude 3.5 Sonnet,Claude 3.5 Sonnet,Proprietary,Anthropic,06-2024,https://docs.anthropic.com/en/docs/intro-to-claude#claude-3-5-family,-,-
1064.8056481429333,1285.7898798298886,1087.6049607799116,952.7569955972164,610,1,gpt-4-turbo-2024-04-09,gpt-4-turbo-2024-04-09,Proprietary,OpenAI,04-2023,https://openai.com/api/,70.0,50.0
911.5137627607211,1154.4994891567385,929.6626728228481,807.3385223388616,809,8,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,Proprietary,OpenAI,07-2024,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,70.0,50.0
933.3908256697254,1224.394614864855,953.081459308694,821.2872210234226,681,7,gpt-4-0613,gpt-4-0613,Proprietary,OpenAI,04-2023,https://openai.com/api/,70.0,50.0
892.103443075417,1187.2232337574437,910.4756962790046,784.9502063587175,795,12,Llama 3.1 405B Instruct Turbo,Llama 3.1 405B Instruct Turbo,Proprietary,Meta,-,https://ai.meta.com/blog/meta-llama-3-1/,-,-
938.6542846619731,1163.070502656141,956.5326574132677,830.9395648888644,817,7,Gemma 2 27B,Gemma 2 27B,Proprietary,Google,-,https://blog.google/technology/developers/google-gemma-2/,-,-
961.3132703667028,1171.367198143491,981.2249348395449,853.9627722960136,761,4,YandexGPT Experimental,YandexGPT Experimental,Proprietary,Yandex,In training,https://ya.ru/ai/gpt-3,45.2,35.2
1002.1966955839318,1278.607587313062,1026.6023400892482,892.9881182349854,472,1,Claude 3 Haiku,Claude 3 Haiku,Proprietary,Anthropic,03-2024,https://docs.anthropic.com/en/docs/intro-to-claude#claude-3-family,-,-
954.3499146241044,1237.1096945986797,976.6705044404565,848.1229059834299,472,4,saiga_llama3_70b,saiga_llama3_70b,Open Source,Ilya Gusev,In training,https://huggingface.co/IlyaGusev/saiga_llama3_70b_sft_m1_d5_abliterated_awq_4bit,-,-
1068.753149420043,1193.431124270226,1089.7256900690663,961.7183024005114,650,1,Qwen 2 Instruct (72B),Qwen 2 Instruct (72B),Open Source,Qwen,12-2023,https://llama.meta.com/llama3/,-,-
1018.8725795421834,1201.604789220443,1038.0471858098285,909.761905160084,683,1,Llama 3.1 70B Instruct Turbo,Llama 3.1 70B Instruct Turbo,Proprietary,Meta,-,https://ai.meta.com/blog/meta-llama-3-1/,-,-
947.2465325678799,1204.8080726635785,967.6962660991635,840.9325115565997,662,6,LLaMA-3 Chat (70B),LLaMA-3 Chat (70B),Proprietary,Meta,12-2023,https://llama.meta.com/llama3/,-,-
